Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
IHH,Q0F,IHHH.KL,50830.836,13795.208,56.76,0.69,Healthcare Services,
Imperium Crown,5HT,IMPE.SI,11.06,2.223,,,Real Estate,75
Inch Kenneth,I4R,IKEN.KL,199.856,12.896,,,Cyclical Consumer Services,
Incredible,RDR,INCR.SI,14.968,3.258,,,Technology Equipment,76
Indofood Agri,5JS,IFAR.SI,456.052,1368.151,246.78,,Food & Beverages,74
Informatics,BOU,INFO.SI,5.32,7.132,,,Personal & Household Products & Services,56
InnoTek,M14,INTK.SI,230.624,183.192,15.38,2.14,Technology Equipment,75
Interra Resource,5GI,INTR.SI,26.875,14.674,,,Energy - Fossil Fuels,65
Intl Cement,KUO,INTN.SI,149.103,141.626,16.88,,Mineral Resources,
Intraco,I06,ITRS.SI,29.043,135.942,,,Industrial & Commercial Services,86
IPC Corp,AZA,IPCC.SI,12.197,6.211,,,Cyclical Consumer Services,61
IPS Securex,42N,IPSS.SI,31.104,14.472,26.67,,Technology Equipment,76
IREIT Global EUR,8U7U,,,,,,,
IREIT Global SGD,UD1U,IREI.SI,743.303,60.238,14.49,6.87,Real Estate,76
ISDN,I07,ISDN.SI,356.977,361.864,23.35,0.98,Industrial Goods,91
ISEC,40T,ISEC.SI,165.221,36.129,35.38,2.67,Healthcare Services,79
Isetan,I15,ISET.SI,186.038,77.16,,1.11,Retailers,73
ISOTeam,5WF,ISOT.SI,44.591,64.633,,,Industrial & Commercial Services,76
IX Biopharma,42C,IXBI.SI,171.619,1.521,,,Pharmaceuticals & Medical Research,61
Jackspeed,J17,JACK.SI,40.202,0,,,Automobiles & Auto Parts,67
Jadason,J03,JADA.SI,21.782,41.086,,,Technology Equipment,56
Japan Foods,5OI,JPFD.SI,72.391,51.002,19.91,6.02,Cyclical Consumer Services,82
Japfa,UD2,JAPF.SI,1550.568,5840.85,3.1,1.33,Food & Beverages,82
Jardine C&C,C07,JCYC.SI,7948.202,20288.234,12.56,3.5,Automobiles & Auto Parts,91
Jason Marine,5PF,JMGL.SI,16.324,,,4.87,Technology Equipment,70
Jasper Inv,FQ7,JASP.SI,13.062,0,,,Energy - Fossil Fuels,41
Jawala,1J7,JAWA.SI,21.325,,,,Applied Resources,59
JB Foods,BEW,JBFO.SI,180.404,567.811,6.84,3.36,Food & Beverages,75
JEP,1J4,JEPH.SI,95.207,73.284,433.96,,Industrial Goods,46
JES Intl,EG0,JSIH.SI,31.602,0,,,Industrial Goods,12
Jiutian Chemical,C8R,JUTN.SI,188.902,290.51,4.98,3.68,Chemicals,54
JMH USD,J36,JARD.SI,41372.664,34233,83.04,3,Consumer Goods Conglomerates,
Joyas Intl,E9L,JIHL.SI,6.641,0.321,,,Cyclical Consumer Products,47
Jubilee,NHD,JLJH.SI,17.841,144.996,,,Industrial Goods,59
Jumbo,42R,JUMB.SI,209.189,97.573,,3.69,Cyclical Consumer Services,74
Karin Tech,K29,KARI.SI,65.502,294.126,68.72,4.23,Technology Equipment,80
Katrina,1A0,KATR.SI,21.068,57.419,,,Cyclical Consumer Services,51
Kencana Agri,BNE,KCAL.SI,43.052,141.743,7.88,,Food & Beverages,67
Keong Hong,5TT,KEHO.SI,84.898,49.438,,,Industrial & Commercial Services,57
Kep Infra Tr,A7RU,KEPL.SI,2695.282,1544.081,,6.89,Utilities,79.5
KepPacOakReitUSD,CMOU,KPEL.SI,787.392,137.473,9.78,8.28,Real Estate,91.5
Keppel Corp,BN4,KPLM.SI,9922.04,7069.044,30.13,3.49,Consumer Goods Conglomerates,122
